ebene;prio;regel;bedingung;ergebnis;uid_land;rechtsgrundlage;quelle;hinweis
A-Transportzuordnung;1;A1;transport = supplier (Lieferant versendet);L1 ist bewegt;für die Zuordnung irrelevant;Art. 36a Abs. 1 MwStSystRL / § 3 Abs. 6a S. 2 UStG;determineMovingSupply();Die eigene UID beeinflusst hier nur das MWSKZ (Ebene B), nicht die Zuordnung.
A-Transportzuordnung;2;A2;transport = customer (Endabnehmer holt ab);letzte Lieferung L(n-1) ist bewegt;für die Zuordnung irrelevant;Art. 36a Abs. 1 Umkehrschluss / EuGH C-245/04 EMAG;determineMovingSupply();Schließt das Dreiecksgeschäft aus (Art. 141 lit. e).
A-Transportzuordnung;3;A3;transport = middle/middle2 UND uidOverride = dep (Abgangsland-UID mitgeteilt);AUSGANGSlieferung des Zwischenhändlers ist bewegt (chainIndex);dep;Art. 36a Abs. 2 MwStSystRL / § 3 Abs. 6a S. 4 Nr. 2 UStG;_applyQuickFix();Nur die tatsächliche MITTEILUNG löst Abs. 2 aus — Besitz der UID genügt nicht.
A-Transportzuordnung;4;A4;transport = middle/middle2 UND uidOverride gesetzt, aber ≠ dep;EINGANGSlieferung ist bewegt (chainIndex-1);uidOverride (dest / Ansässigkeit / Dritt-MS);Art. 36a Abs. 1 MwStSystRL;_applyQuickFix();Dritt-MS-UID (weder dep noch dest) löst zusätzlich Art. 41 Doppelerwerb aus.
A-Transportzuordnung;5;A5;transport = middle/middle2, kein uidOverride, companyHome ≠ dep;EINGANGSlieferung ist bewegt (Grundregel);companyHome;Art. 36a Abs. 1 / § 3 Abs. 15 Z 1 lit. c UStG;_applyQuickFix();Gilt AUCH wenn eine dep-UID vorhanden ist (Besitz ≠ Mitteilung, korrigiert 25.08.2026).
A-Transportzuordnung;6;A6;transport = middle/middle2, kein uidOverride, companyHome = dep (im Abgangsland ansässig);AUSGANGSlieferung ist bewegt;dep (= companyHome);Art. 36a Abs. 2 lit. b MwStSystRL;_applyQuickFix();"Ansässigkeit im Abgangsland; EPDE bei dep=DE, EPROHA bei dep=AT."
B-MWSKZ-Findung;1;B1;vatTreatment ∈ {ic-exempt, ic-acquisition, dreiecks, export};MWSKZ aus dem UID-LAND, nicht aus dem Lieferort;uidCountry → uidOverride → companyHome;Buchungskreis folgt der Rechnungs-UID;_sapEffectiveCountry();Beispiel: IG-Erwerb in AT mit AT-UID = VE, in DE mit DE-UID = VH. Eigene bewegte Ausgangslieferung: siehe B1a.
B-MWSKZ-Findung;1;B1a;eigene BEWEGTE Ausgangslieferung (ic-exempt / export, kein Dreieck);"MWSKZ aus der UID des ABGANGSLANDS; uidOverride (dem Vorlieferanten mitgeteilte UID) und companyHome spielen keine Rolle. Keine UID/kein Eintrag im Abgangsland → KEIN Code + Registrierung";dep;Art. 32 + 138 MwStSystRL · § 14a Abs. 3 / § 18a UStG — Lieferort und Meldung im Abgangsland;buildKurzbeschreibung ownSupplyNotes() · buildDeliveryBox() · buildVergleichTab();EPROHA ab DE = DH (nicht AF, auch wenn die AT-UID dem Lieferanten mitgeteilt wurde). EPDE ab IT ohne IT-UID = KEIN (Matrix-Zeile 38), nicht DH.
B-MWSKZ-Findung;2;B2;vatTreatment ∈ {domestic, rc, not-taxable};MWSKZ aus dem LIEFERORT-Land (Transaktionsland), UID irrelevant;Lieferort;Ort des Umsatzes bestimmt das Steuerrecht;_sapEffectiveCountry();Ruhende Lieferung vor Transport = dep, nach Transport = dest (Art. 31/36).
B-MWSKZ-Findung;3;B3;kein SAP_TAX_MAP-Eintrag für das ermittelte UID-Land;"Fallback auf das Lieferort-Land; existiert auch dort keiner → KEIN Code";Fallback;—;_sapEffectiveCountry();Nie ein Kennzeichen erfinden. Bekannte Lücken: EPDE ic-exempt für BE/EE/LV/NL.
B-MWSKZ-Findung;4;B4;Dreiecksgeschäft greift (triangle = true);"IG-Erwerb über Heimat-UID (VE/VH); ruhende L2 = Dreieckslieferung AF (EPROHA) bzw. DH (EPDE)";companyHome;Art. 141/42 MwStSystRL · Art. 25 UStG AT · § 25b UStG;buildQuickCheck / buildDreiecks3Result;triangle schlägt die Basisklassifikation rc — im Dreieck NIE das IT-Inlands-RC (IC).
C-SAP-Findung-Ist;1;C1;Lieferung ab eigenem Werk (Lagerauftrag);UID des WERKSLANDES;Werksland (1701=DE, 1702=PL, 1703=CZ, AT=EPROHA);—;plants_abroad/README.md Punkt 4;SAP-Findung, nicht Steuerrecht.
C-SAP-Findung-Ist;2;C2;Incoterm EXW (Kunde holt ab Lieferantenwerk);UID des LIEFERANTENLANDES — EXW hat Vorrang vor der Ship-to-Regel;Lieferantenland;entspricht Art. 36a Abs. 2 (mitgeteilte Abgangsland-UID);plants_abroad/README.md Punkt 5;Das Tool kennt diese Dimension NICHT → bekannte Ist/Soll-Divergenz, siehe SAP-EXW in 05.
C-SAP-Findung-Ist;3;C3;EXW, aber im Lieferantenland KEINE eigene UID;erst Ship-to-Land prüfen, dann erst BUKRS;Ship-to-Land, sonst BUKRS;Art. 36a Abs. 1 (ohne dep-UID bleibt es bei der Grundregel);plants_abroad/README.md Punkt 5 + PRUEFUNG.md;Direkter BUKRS-Fallback wäre falsch — er unterstellt stillschweigend ein Dreiecksgeschäft.
C-SAP-Findung-Ist;4;C4;Streckengeschäft (3rd party) ohne EXW;UID des WARENEMPFÄNGER-Landes, sofern dort eine eigene UID besteht;Ship-to-Land;—;plants_abroad/README.md Punkt 4;
