id;quelle_datei;typ;titel;konstellation;wirkung_kennzeichen;status;fundstelle
RK-D1;rechtskonformitaet.md § D1;bewusste Abweichung (konservativ);Dreieck: eigene UID im Bestimmungsland blockiert, nicht erst die Niederlassung;EPDE mit UID in SI/LV/EE/NL/BE/CZ/PL · EPROHA mit UID in DE/CH — jeweils als mittlerer Unternehmer mit diesem Land als Bestimmungsland;Statt Dreieck (AF/DH) → ig. Erwerb + lokale Inlandslieferung im Bestimmungsland (z. B. SI: EC + CB). Registrierung nötig.;bewusst so, Revision nur nach Steuerberatung;_detectTriangle3() / _detectTriangle4()
RK-D2;rechtskonformitaet.md § D2;bewusste Abweichung (mild);NL-Dreieck: bloße NL-Registrierung des Kunden C genügt (Belastingdienst-Praxis);Bestimmungsland NL, Kunde C nur NL-registriert statt NL-ansässig;Dreieck bleibt anwendbar → AF/DH statt NL-Registrierung. Spiegelbild zu D1.;bewusst so;_detectTriangle3() — kein gevestigd-Check
RK-D3;rechtskonformitaet.md § D3;bewusste Abweichung (konservativ);Lohnveredelung: ig. Verbringen gemeldet statt Art. 17 Abs. 2 lit. e in Anspruch genommen;Mode 5, Ware kommt nach der Veredelung nicht zurück (litF=false) und geht ab dem Veredelungsland weiter;"Zusätzliches ig. Verbringen (Ausgang AF/DH, Eingang VE/VH) + Registrierungspflicht im Veredelungsland statt „kein Verbringen"".";bewusst so;computeLohn() Feld verbringen, reason=no-return
RK-F3;rechtskonformitaet.md § F3;akademisch, nicht relevant;Quick-Fix mit manuell gewählter dep-UID ohne tatsächliche Registrierung;Nur konstruierbar, wenn eine dep-UID gewählt wird, die nicht in COMPANIES hinterlegt ist;keine — in der UI nicht erzeugbar (UID nur aus Stammdatensatz wählbar);kein Handlungsbedarf;_applyQuickFix()
TODO-D2;RGR_TODO.md (Matrix V1, Rechner-Befund D2);Bug im Rechner;MWSKZ wird trotz fehlender Registrierung angezeigt;Kunde holt im Abgangsland ab (transport=customer), eigene Gesellschaft hat dort KEINE UID — z. B. Matrix Z38 (EXW IT→SI, EPDE);"Rechner zeigt DH und warnt zugleich „Registrierungspflicht"". Richtig wäre „kein MWSKZ (Registrierung fehlt)"". Die Matrix ist hier ehrlicher.";offen;SAP-Badge im Rendering-Layer
TODO-D3;RGR_TODO.md (Matrix V1, Rechner-Befund D3);Modellgrenze;Drop-Shipment AT-Kunde ohne fremde EU-UID nicht schaltbar;Mode 2, dest=AT, abweichender Warenempfänger, Kunde legt KEINE fremde EU-UID vor (Matrix Z63);"Rechner zeigt AF + Hinweis „sonst 20 % AT""; Sollwert der Matrix ist A2 (20 % AT).";offen;analyze2() Drop-Shipment-Zweig
SAP-EXW;CLAUDE.md · RGR_TODO.md (EXW/Incoterms);Ist/Soll-Divergenz Tool ↔ SAP;EXW dreht in SAP die UID aufs Lieferantenland — das Tool kennt diese Dimension nicht;"Alle EXW-Konstellationen; besonders Lieferantenland ohne eigene Registrierung (IT, FR, ES, HU, RO …) bei Warenempfänger-Land MIT eigener UID";Gleicher Sachverhalt kann in Tool und SAP unterschiedliche MWSKZ ergeben (z. B. DH vs. CB). Für die Excel-Prüfung EXW als eigene Spalte führen.;offen, mit SAP-Team zu klären;buildSapInputHint() / SAP_CUSTTAX_MAP kennen kein EXW-Feld
SAP-ABGANGSLAND;plants_abroad/PRUEFUNG.md § 2.1;Datenfehler in der Matrix;steuerliches Abgangsland nicht gepflegt (Z50, Z51, Z57);CH-DDP (Z50), LI-DDP (Z51), IT→IT (Z57) — Abgangsland steht auf AT;SAP findet A0 bzw. AF statt der gepflegten B5 / IC. Abgangsland muss CH / LI / IT sein.;offen (Fachseite);"Matrix_erweitert_V1_2.xlsx Spalte „tax delivered from country"""
SAP-LUECKE-IGL;SAP_TAX_MAP / RGR_TODO.md P3;fehlendes Kennzeichen;Kein Ausgangs-MWSKZ für IG-Lieferung mit BE-, EE-, LV- oder NL-UID;EPDE verkauft als Lieferant mit BE/EE/LV/NL-UID ig. an ein anderes EU-Land;"SAP_TAX_MAP liefert null → Tool zeigt „kein MWSKZ"". In SAP anzulegen (Pendant zu DH/T1/C1/OB).";offen;SAP_TAX_MAP.EPDE.{BE,EE,LV,NL}[ic-exempt]
VAT-H02;RGR_TODO.md (offen, P0);fachlich offen;BE: RC wird bei Direktregistrierung ohne Betriebsstätte gesperrt;EPDE mit BE-UID ohne BE-Betriebsstätte, ruhende Lieferung in BE;Tool weist 21 % BE aus (BS/BI) statt RC. Wenn RC doch greift, ist das eine Fehlklassifikation über den vollen Steuerbetrag.;offen, mit Steuerberater zu klären — vorher nichts ändern;_checkRCBlock() BE-Zweig
VAT-M01;RGR_TODO.md (offen);fachlich offen;IT: gleiche RC-Frage wie BE, aktuell latent;Wird akut, sobald eine IT-UID in die Stammdaten aufgenommen wird;"heute keine (EPROHA ohne IT-UID → IC ohne Eingangscode; EPDE mit IT-UID → VI)";latent;_checkRCBlock() IT-Zweig
VAT-H04;RGR_TODO.md (offen);Modellgrenze;Art. 138: validierte Kunden-UID wird nicht modelliert;Jede IG-Lieferung — das Tool kennt weder VIES-Status noch ZM-Abgabe;"„0 % steuerfrei"" gilt nur dem Grunde nach. Für die UVA-/Fakturaprüfung ist die UID-Validierung eine EIGENE Kontrolle.";bewusst außerhalb des Scope;—
